city,address,new,rooms,square,floor,floors,price,Пермь,Березники,Оханск,Чайковский,д. Кондратово,остальные
Березники,"Юбилейная улица, 102",0,2,37.8,1,5,2100000.0,0,1,0,0,0,0
Березники,"улица Шишкина, 83",0,1,37.7,3,5,3098679.0,0,1,0,0,0,0
Березники,"улица Шишкина, 84",0,1,38.5,1,5,2920923.0,0,1,0,0,0,0
Березники,"улица Шишкина, 82",0,2,59.4,2,5,17098816.31,0,1,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Акулова, Красноборская улица, 8",0,2,49.2,3,3,3550000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Снайперов, 8",0,1,31.5,4,5,3100000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Разгуляй, улица 25 Октября, 4",0,3,78.7,5,5,24179208.71,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Садовый, улица Юрша, 1",0,1,37.0,7,9,4050000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Данилиха, Полевая улица, 10",0,0,32.9,9,25,4600000.0,1,0,0,0,0,0
д. Кондратово,"улица Водопроводная, 1",0,2,44.4,9,16,5950000.0,0,0,0,0,1,0
Пермь,"р-н Свердловский, мкр. Зеленое хозяйство, улица Льва Шатрова, 10",0,1,32.1,2,5,3500000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Парковый, Подлесная улица, 19/3",0,0,18.9,1,4,2260000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, Пензенская улица, 62",0,2,55.3,2,2,9271470.16,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Революции, 54",0,3,77.7,20,20,28017739.93,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, улица Борчанинова, 15",0,3,61.9,4,10,21602151.44,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Нагорный, улица Архитектора Свиязева, 48",0,4,76.8,4,12,20665058.53,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Садовый, улица Юрша, 5",0,1,34.0,9,10,4150000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Островский, улица Революции, 2А",0,2,48.0,3,26,7900000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Крохалева, улица Лодыгина, 37",0,1,30.7,2,3,2550000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Октябрьский, Весенняя улица, 30",0,2,44.0,1,2,2800000.0,1,0,0,0,0,0
Пермь,"р-н Орджоникидзевский, мкр. Гайва, улица Кабельщиков, 17",0,1,34.5,6,10,3299000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Железнодорожный, Хабаровская улица, 54",0,2,47.5,12,18,5190000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Танкистов, 70",0,1,30.5,5,5,3400000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Закамск, улица Липатова, 6",0,2,44.0,2,5,3350000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Новоплоский, улица Карпинского, 57А",0,1,30.9,4,5,3250000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Василия Татищева, 4",0,2,56.3,25,25,22196282.95,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Комбайнеров, 43",0,3,77.6,19,24,28723631.98,1,0,0,0,0,0
остальные,"проспект Ленина, 17",0,2,37.0,5,5,1550000.0,0,0,0,0,0,1
Пермь,"р-н Орджоникидзевский, мкр. Кислотные Дачи, улица Бушмакина, 96",0,0,34.6,7,15,3100000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, Петропавловская улица, 83",0,2,43.2,4,9,5890000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Парковый, улица Строителей, 48",0,2,55.7,15,16,22181705.11,1,0,0,0,0,0
Пермь,"р-н Дзержинский, улица Ленина, 84",0,3,57.6,4,5,19647621.69,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Старые Водники, улица Танцорова, 25",0,1,38.5,7,10,4640000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Разгуляй, Пермская улица, 2",1,2,64.09,6,6,27214445.98,1,0,0,0,0,0
остальные,"улица Шмидта, 49",0,2,45.4,5,5,2150000.0,0,0,0,0,0,1
Пермь,"р-н Кировский, улица Богдана Хмельницкого, 30",0,1,31.0,1,5,2650000.0,1,0,0,0,0,0
Пермь,"р-н Орджоникидзевский, мкр. Гайва, переулок 2-й Дубровский, 6",0,2,44.3,5,5,3100000.0,1,0,0,0,0,0
