housing,existing_credits,duration,credit_amount,age,personal_status,purpose,credit_history,type
арендатор,1,46,8850,20,мужчина (женатый или вдовец),другое,есть непогашенные кредиты,ненадежный
домовладелец,4,56,19117,44,мужчина (одинокий),ремонт жилья,есть непогашенные кредиты,надежный
домовладелец,2,44,9316,33,мужчина (одинокий),ремонт жилья,есть непогашенные кредиты,надежный
домовладелец,2,88,15822,23,мужчина (разведенный),новая машина,есть просрочки платежей,ненадежный
домовладелец,2,54,14406,35,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
домовладелец,1,57,11746,27,женщина,новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,46,18836,24,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,74,9007,40,женщина,новая машина,есть просрочки платежей,надежный
домовладелец,1,39,14294,24,женщина,мебель,есть непогашенные кредиты,ненадежный
домовладелец,2,34,9746,31,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,37,10705,38,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,70,17577,48,мужчина (разведенный),мебель,есть непогашенные кредиты,ненадежный
домовладелец,1,34,9411,23,мужчина (женатый или вдовец),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,56,9941,35,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,56,12529,56,женщина,образование,есть просрочки платежей,надежный
домовладелец,1,74,11778,53,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,60,16064,43,мужчина (разведенный),новая машина,есть просрочки платежей,надежный
домовладелец,2,62,12581,21,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,1,39,12538,30,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
без жилья,2,72,9657,62,мужчина (одинокий),образование,есть просрочки платежей,надежный
домовладелец,1,44,12713,27,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
без жилья,1,44,11295,30,мужчина (разведенный),бытовая техника,все кредиты погашены,ненадежный
домовладелец,2,53,18777,49,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,2,57,14522,29,мужчина (разведенный),мебель,есть просрочки платежей,надежный
домовладелец,2,51,11158,33,мужчина (одинокий),другое,есть непогашенные кредиты,надежный
домовладелец,1,17,14045,28,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
арендатор,4,51,8443,22,женщина,мебель,есть непогашенные кредиты,ненадежный
домовладелец,2,42,11053,31,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,57,9353,61,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,1,34,13501,40,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
арендатор,2,46,13587,19,женщина,мебель,есть непогашенные кредиты,ненадежный
домовладелец,1,61,15668,29,женщина,подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,39,12576,24,мужчина (женатый или вдовец),бизнес,есть просрочки платежей,надежный
домовладелец,1,48,17192,26,женщина,подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,88,14354,37,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,1,64,11652,32,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,57,14078,37,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,2,82,14200,33,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
